Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M06;94,474
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M05;94,222
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M04;93,774
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M03;92,920
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M02;92,331
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M01;92,141
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M12;93,646
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M11;94,195
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M10;94,261
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M09;93,824
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M08;93,681
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M07;93,533
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M06;94,421
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M05;94,395
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M04;94,373
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M03;93,541
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M02;93,333
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2014M01;93,373
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M12;94,632
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M11;94,547
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2013M10;94,351
